_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Olympus Zuiko digital ED 12-60mm 2.8-4.0 SWD;12-60mm;1:2.8-1:4.0;72mm;1:3.57;0.25m;Four-Thirds;Four-Thirds;575g;79.5x98.5mm;
Nikon AF-S VR DX 55-200mm 4.0-5.6G ED II;55-200mm;1:4.0-1:5.6;52mm;;1.10m;Nikon F;APS-C;300g;70.5x83mm;
Lensbaby Velvet 85mm 1.8;85mm;1:1.8;68mm;1:2.00;0.24m;Nikon F, Canon EF, Samsung NX, Pentax K, Micro-Four-Thirds, Fujifilm X;APS-C/ Kleinbild;530g;76x89mm;
Samyang 7.5mm T3.8 UMC Fisheye;7.5mm;1:3.8;;;0.09m;Micro-Four-Thirds;Four-Thirds;195g;60x48.3mm;
Walimex Pro 85mm 1.5 VDSLR;85mm;1:1.5;72mm;;1.10m;Sony E, Samsung NX, Nikon F, Nikon 1, Four-Thirds, Canon EF;APS-C;600g;78x80mm;
Sigma Contemporary AF 150-600mm 5.0-6.3 DG OS HSM inkl. 1.4x Telekonverter;150-600mm;1:5.0-1:6.3;95mm;1:5.00;2.80m;Nikon F, Canon EF, Sigma SA;APS-C/ Kleinbild;1930g;105x260.1mm;
Panasonic Lumix G Vario 45-200mm 4.0-5.6 OIS;45-200mm;1:4.0-1:5.6;52mm;;1.00m;Micro-Four-Thirds;Four-Thirds;380g;70x100mm;
Samyang 14mm 3.1 AS IF UMC VDSLR;14mm;1:3.1;;;0.28m;Pentax K;APS-C/ Kleinbild;552g;94x87mm;
Pentax smc FA 645 150-300mm 5.6;150-300mm;1:5.6;67mm;1:5.56;2.00m;Pentax 645;APS-C/ Kleinbild;920g;80x201mm;
Walimex Pro Set All Star;;;;;;Nikon F, Canon EF;;;;
Walimex Pro 85mm 1.5 VCSC;85mm;1:1.5;72mm;;1.10m;Fujifilm X, Canon EF-M;APS-C/ Kleinbild;645g;78x101mm;
